Ticker,Date,Auto_Score,Total_Score,Verdict
NVDA,2026-05-17,80.9,80.9,STRONG BUY
NFLX,2026-05-17,82.1,82.1,STRONG BUY
JPM,2026-05-17,56.2,56.2,HOLD
ADBE,2026-05-17,80.7,80.7,STRONG BUY
HCA,2026-05-22,72.3,72.3,STRONG BUY
GE,2026-05-30,58.6,58.6,BUY
GE,2026-05-30,58.6,58.6,BUY
GS,2026-05-30,38.3,38.3,REDUCE
CCL,2026-06-19,59.6,59.6,BUY
DOCU,2026-06-21,79.2,79.2,STRONG BUY
BABA,2026-06-21,43.6,43.6,REDUCE
RIOT,2026-06-23,37.1,37.1,REDUCE
LCID,2026-06-23,46.2,46.2,HOLD
PINS,2026-06-24,71.1,71.1,STRONG BUY
MGM,2026-06-24,35.0,35.0,REDUCE
VZ,2026-06-24,61.4,61.4,BUY
UBER,2026-06-24,60.7,60.7,BUY
GM,2026-06-24,46.9,46.9,HOLD
BIDU,2026-06-24,18.9,18.9,SELL
BIDU,2026-06-24,18.9,18.9,SELL
BIDU,2026-06-24,18.9,18.9,SELL
DAL,2026-06-24,59.7,59.7,BUY
UAL,2026-06-24,55.6,55.6,HOLD
BA,2026-07-03,29.4,29.4,SELL
CCL,2026-07-03,60.8,60.8,BUY
LCID,2026-07-04,41.7,41.7,REDUCE
DOCU,2026-07-04,74.3,74.3,STRONG BUY
RIOT,2026-07-04,32.5,32.5,REDUCE
GS,2026-07-04,35.0,35.0,REDUCE
