Ticker,Price,MktCap_B,GG_Price,GG_Upside,EM_Price,EM_Upside,PE_Current,PE_5yr,PFCF_Current,PFCF_5yr,ROIC,Rev_CAGR,FCF_NI,D_EBITDA,Revenue_B,OCF_B,FCF_B,SBC_B,SBC_pct,Auto_Score,Floor_Cap,Manual_Clarity,Manual_LTP,Date
AAPL,312.51,4589.95,158.27,-0.4936,220.44,-0.2946,35.7,29.9,38.7,29.2,0.8228,0.0181,0.8818,0.68,416.16,111.48,98.77,12.86,0.1302,6.7,,,,2026-05-29
ABBV,215.70,381.10,158.89,-0.2634,172.69,-0.1994,15.1,62.6,22.8,16.6,0.2154,0.0175,4.2158,3.88,61.16,19.03,17.82,,,7.3,10.9,,,2026-05-27
ADBE,241.44,97.59,373.84,0.5484,628.87,1.6046,10.3,41.4,13.8,29.6,0.5731,0.1052,1.3818,0.64,23.77,10.03,9.85,1.94,0.1971,8.4,,,,2026-05-29
AMD,,,79.71,,81.50,,,,,,0.0588,0.1364,1.5536,0.53,34.64,7.71,6.74,1.64,0.2432,4.7,,,,2026-05-27
AMZN,270.64,2911.30,68.54,-0.7468,207.24,-0.2343,30.8,40.6,319.6,180.7,0.1647,0.1173,0.0991,0.40,716.92,139.51,7.70,,,6.5,,,,2026-05-30
BAC,51.80,367.60,31.87,-0.3847,41.50,-0.1988,11.6,11.9,32.1,21.7,0.1006,0.1852,0.4134,9.15,191.57,12.61,12.61,,,6.4,,,,2026-05-27
C,125.09,214.52,,,,,11.5,10.6,,3.7,0.0672,0.1886,-5.1971,30.99,168.30,-67.63,-74.15,,,5.1,,,,2026-05-27
COIN,163.26,43.01,42.48,-0.7398,107.38,-0.3423,253.8,129.9,24.2,26.0,0.1064,0.3100,1.9252,4.26,7.18,2.43,2.43,0.84,0.3460,6.0,,,,2026-06-21
COST,995.20,441.52,327.17,-0.6713,734.65,-0.2618,48.6,44.9,53.4,50.8,0.3752,0.0664,0.9677,0.43,275.24,13.34,7.84,0.86,0.1097,8.1,,HIGH,MOD,2026-05-29
CSCO,120.41,474.59,65.00,-0.4602,58.00,-0.5183,28.2,21.4,20.6,17.2,0.1620,0.0319,1.3053,1.83,56.65,14.19,13.29,,,6.4,,,,2026-05-27
CVX,191.43,381.25,176.24,-0.0793,204.79,0.0698,14.1,16.6,17.0,14.4,0.0475,-0.0785,1.3491,1.01,184.43,33.94,16.59,,,5.8,,,,2026-05-27
DIS,103.77,180.19,98.57,-0.0500,165.97,0.5994,15.2,65.9,20.3,78.6,0.0834,0.0451,0.8124,2.20,94.42,18.10,10.08,1.36,0.1353,6.9,,,,2026-05-29
ETSY,73.95,7.02,24.83,-0.6642,48.53,-0.3438,20.7,35.5,8.5,20.1,0.4978,0.0396,3.9191,8.13,2.88,0.69,0.64,0.24,0.3832,6.9,8.5,,,2026-06-19
F,14.93,58.43,,,,,9.1,7.5,4.2,6.0,0.0098,0.0582,-1.5237,19.33,187.27,21.28,12.47,,,4.5,4.6,,,2026-05-27
FDX,394.20,94.06,202.42,-0.4865,385.54,-0.0220,19.9,14.2,17.8,19.2,0.1060,-0.0203,0.7285,1.96,87.93,7.04,2.98,,,5.3,,,,2026-05-27
GE,323.76,338.27,160.79,-0.5034,197.21,-0.3909,42.8,58.0,45.2,35.4,0.2815,0.1632,0.8346,1.70,45.85,8.54,7.26,,,6.8,,,,2026-05-30
GS,1025.56,302.55,,,,,17.3,12.3,-5.8,53.3,0.0302,0.2211,-2.7491,25.27,125.10,-45.15,-47.22,3.44,,4.4,4.6,,,2026-05-30
HCA,394.07,87.42,513.34,0.3027,855.35,1.1706,13.0,14.0,14.0,15.0,0.2294,0.0787,1.1338,3.10,75.60,12.64,7.69,,,8.5,,MOD,MOD,2026-05-27
INTC,119.84,602.32,,,11.13,-0.9071,111.3,49.6,,,0.0001,-0.0571,18.5356,3.25,52.85,9.70,-4.95,,,2.1,9.9,,,2026-05-27
JNJ,230.80,555.59,265.82,0.1517,360.45,0.5617,19.9,20.4,25.6,22.9,0.1918,0.0560,0.7349,1.17,94.19,24.53,19.70,1.35,0.0687,7.6,,,,2026-05-29
JPM,306.38,820.95,150.75,-0.5080,178.82,-0.4163,13.8,12.4,8.9,13.2,0.1574,0.2206,1.7681,11.57,279.75,100.87,100.87,,,6.5,,MOD,MOD,2026-05-27
KO,81.48,350.57,46.65,-0.4274,58.60,-0.2807,24.9,24.9,56.8,41.9,0.1677,0.0369,0.4041,2.43,47.94,7.41,5.30,,,6.1,,,,2026-05-27
META,610.26,1549.10,490.43,-0.1964,1203.65,0.9724,18.6,23.5,36.1,27.3,0.2440,0.1989,0.7627,0.56,200.97,115.80,46.11,,,8.2,,,,2026-05-27
MSFT,415.91,3089.56,397.97,-0.0431,674.78,0.6224,24.8,33.9,51.6,41.2,0.2971,0.1242,0.7032,0.27,281.72,136.16,71.61,11.97,0.1672,7.8,,,,2026-05-27
NFLX,88.60,373.08,146.43,0.6527,169.20,0.9097,24.9,39.4,41.9,50.2,0.3590,0.1264,0.8616,0.48,45.18,10.15,9.46,,,9.4,,,,2026-05-27
NKE,47.37,70.03,43.47,-0.0823,60.35,0.2740,31.7,30.7,27.5,32.1,0.2237,-0.0029,1.0152,1.77,46.31,3.70,3.27,0.71,0.2170,6.8,,,,2026-05-29
NVDA,214.25,5189.35,205.76,-0.0396,460.95,1.1514,24.2,60.3,47.0,70.4,0.7133,1.0005,0.8052,0.06,215.94,102.72,96.68,6.39,0.0661,9.2,,,,2026-05-29
PEP,150.57,205.82,79.76,-0.4702,126.01,-0.1631,17.4,25.7,25.6,31.2,0.1808,0.0283,0.9311,3.16,93.92,12.09,7.67,,,8.2,11.3,,,2026-05-27
PLTR,128.47,294.98,53.84,-0.5809,63.24,-0.5077,88.0,264.5,200.5,116.7,0.2339,0.3292,1.2926,0.00,4.48,2.13,2.10,0.68,0.3256,6.1,,,,2026-06-21
RBLX,51.53,36.89,,,,,-52.6,,41.3,105.1,6.2357,0.3002,-1.2702,,4.89,1.80,1.35,1.13,0.8345,6.5,,,,2026-06-21
SBUX,99.16,113.01,22.09,-0.7772,54.98,-0.4455,41.5,35.2,40.0,35.0,0.4433,0.0486,1.3154,2.99,37.18,4.75,2.44,,,5.4,,,,2026-05-30
SNAP,5.71,9.67,,,,,,,31.6,244.2,0.0956,0.0883,-0.9494,,5.93,0.66,0.44,,,3.2,,,,2026-05-27
SOFI,15.62,20.04,,,32.39,1.0736,26.0,50.5,,,0.0653,0.3935,-8.2791,2.39,4.77,-3.74,-3.98,,,4.5,10.3,,,2026-05-27
TGT,125.60,57.04,91.60,-0.2707,143.31,0.1410,15.1,16.7,16.9,17.3,0.1387,-0.0134,0.7652,2.06,104.78,6.56,2.83,,,7.1,,,,2026-05-27
TSLA,426.01,1599.97,2.80,-0.9934,120.26,-0.7177,223.8,210.1,233.2,226.6,0.0430,0.0519,1.6394,0.71,94.83,14.75,6.22,,,3.1,,,,2026-05-27
TSM,404.52,2098.04,,,,,0.8,24.6,45.0,45.7,0.4539,0.1935,0.6324,0.38,3848.51,2383.18,1097.58,,,7.7,,,,2026-05-27
